Document Title,Authors,Publication Title,Date Added To Xplore,Publication Year,Abstract,IEEE Terms,PDF Link,Document Identifier,Medical,Disease,Modality,Model,Explainibility,Local/Global
Multiclass Brain Tumor Detection using Deep Transfer Learning,A. V. Deshmukh; M. R. Bendre,"2024 MIT Art, Design and Technology School of Computing International Conference (MITADTSoCiCon)",02-Jul-24,2024,"Brain tumors, identified as abnormal growth of cell inside the brain, necessitate accurate categorization for tailored treatment plans. This classification aids in determining the severity of the condition and guiding therapeutic decisions. Iimaging technologies in medical like Magnetic Resonance Imaging (MRI) are instrumental in identifying brain pathologies without emitting ionizing radiation. Deep learning, a subset of AI, enhances brain tumor detection from MRI scans, improving prediction rates. Digital image processing is vital for medical image analysis and diagnosis. Brain tumors manifest in various forms, categorized as benign or malignant based on their tissue characteristics. Convolutional Neural Networks (CNNs), particularly VGG-16, Inception-v3, and ResNet-50 are prominent in brain tumor analysis, segmentation, and classification. These models are compared for their efficacy in identifying and forecasting brain tumor cells. Common brain tumor types include glioma, meningioma, and pituitary tumors, each requiring specific treatment approaches.",Image segmentation;Accuracy;Image analysis;Magnetic resonance imaging;Transfer learning;Feature extraction;Real-time systems,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10575380,IEEE Conferences,,,,,,
Brain Tumor Detection Using AIML,S. Kumari; P. Bharti; G. Dixit; V. Rohilla; M. Kumar; C. Choudhary,"2024 MIT Art, Design and Technology School of Computing International Conference (MITADTSoCiCon)",02-Jul-24,2024,"Computer vision, a subfield of AI, specifically deals with allowing computers to construe and understand visual information from the world, often through digital images or videos. It is also very helpful in the healthcare because it detects the diseases through digital images. It involves developing algorithms and models that can recognize objects, patterns, and features within images, allowing machines to observe and extract meaningful information from visual data. ""Deep learning is a method in artificial intelligence (AI) that teaches computers to process data in a way that is inspired by the human brain"". Deep learning produces outstanding results in a range of fields, including biomedicine, education, and the detection of financial fraud, among others, due to its ability to handle vast volumes of data sets. It has proven to operate admirably and has the ability to use MRI scans to detect brain cancers for precise prognosis. This research project's main objective is to give a thorough summary of the studies and judgements made recently on the identification and classification of brain cancers using MRI scans. The first step in the classification and diagnosis of brain tumors is a rapid review of previous research publications using artificial intelligence and machine learning. The conclusions offered in this paper will provide researchers with a thorough comparison of recent studies as well as a novel viewpoint on the effectiveness of various AIML and Deep Learning approaches. With an emphasis on AI/ML and deep learning techniques, the major objective of this research project is to present a comprehensive overview of recent studies and findings addressing the detection and classification of brain tumors using MRI data. An review of past studies in the field, including the most recent advancements in AI and deep learning, is provided at the outset of this study.",Deep learning;Visualization;Reviews;Magnetic resonance imaging;Digital images;Computed tomography;Feature extraction,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10575020,IEEE Conferences,,,,,,
Comparison of Clustering Algorithms for Segregating the Planar Sections of Brain Tumour MRIs,A. Jhariya; D. Parekh; J. Lobo; A. Mogal; A. Bongale; R. Jayaswal,"2024 MIT Art, Design and Technology School of Computing International Conference (MITADTSoCiCon)",02-Jul-24,2024,"Clustering is a technique that involves grouping data into clusters based on the similarity of their characteristics. In images these can be visual features like color, texture, shape, intensity and so on. Unsupervised learning takes place here as the data is clustered without any prior knowledge of their labels or categories. MRI (Magnetic Resonance Imaging) tests capture medical images using magnetic fields and radio waves. These images are used for diagnostic purposes to detect and analyze the internal structure of organs and tissues in the human body. Clustering the planar section of these medical scans can help detect the various types of diseases or condition. This paper potrays a comparitive study by evaluating the efficiency of various clustering algorithms like K-Means, Agglomerative, DBSCAN (Density-Based Spatial Clustering of Applications with Noise) and BIRCH (Balanced Iterative Reducing and Clustering using Hierarchies). The aim is to find out the most appropriate algorithm for effectively identifying and clustering the different planar sections of Brain Tumour MRI scans.",Visualization;Shape;Magnetic resonance imaging;Clustering algorithms;Data visualization;Surgery;Medical diagnostic imaging,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10575146,IEEE Conferences,,,,,,
Elevating Ocular Diagnosis: Harnessing the Power of EfficientNet for Eye Disease Classification,V. Mohith; K. Raja; I. R. Oviya,2024 3rd International Conference on Artificial Intelligence For Internet of Things (AIIoT),02-Jul-24,2024,"In response to the evolving landscape of healthcare technology this study addresses the need for automated diagnostic tools in the field of ophthalmology. By utilizing deep learning methods specifically leveraging the EfficientNetV2S framework we achieve an overall accuracy rate of 94.6% in classifying images depicting common eye conditions like cataract, diabetic retinopathy, glaucoma, and normal cases. Our model exhibits capabilities across a diverse spectrum of medical conditions due to meticulous preprocessing and fine-tuning procedures. The results highlight the potential for automated technology integration in healthcare settings, which might improve patient care and treatment plans. This paper highlights the use of advanced neural network designs in the diagnosis of ocular illnesses, offering insights at the nexus of learning and medical image processing.",Glaucoma;Deep learning;Diabetic retinopathy;Accuracy;Computational modeling;Neural networks;Medical treatment,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10574627,IEEE Conferences,,,,,,
Prediction of gender from structural MRI images using Multiscale ShuffleNet Extreme Learning Machine,B. F. Stanley; R. Jeen Retna Kumar; V. Gnanaprakash; P. Bini Palas; J. G. B. Patturose; D. J. Joel Devadass Daniel,2024 3rd International Conference on Artificial Intelligence For Internet of Things (AIIoT),02-Jul-24,2024,"In recent years, the application of machine learning techniques to medical imaging data has shown promising results in various clinical tasks. One such task is the prediction of gender from structural MRI (magnetic resonance imaging) images, which holds potential implications for personalized medicine and understanding neurobiological differences between genders. In this study, we propose a novel approach utilizing Multiscale ShuffleNet Extreme Learning Machine (MSEL), a fusion of Multiscale feature extraction and ShuffleNet architecture with Extreme Learning Machine classifier. We demonstrate the effectiveness of our method on a large dataset of structural MRI images, employing state-of-the-art preprocessing techniques and feature extraction methods. Our results indicate significant accuracy and robustness in gender prediction, outperforming existing methodologies. Furthermore, we conduct comprehensive analyses to investigate the contribution of different components in our proposed framework, shedding light on the underlying mechanisms of gender-related brain structural differences. Overall, our study presents a promising avenue for utilizing advanced machine learning techniques in neuroimaging research, with potential applications in clinical diagnostics and personalized healthcare.",Neuroimaging;Accuracy;Extreme learning machines;Magnetic resonance imaging;Computational modeling;Computer architecture;Feature extraction,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10574550,IEEE Conferences,,,,,,
Bias Inheritance and its Amplification in GAN-Based Synthetic Data Augmentation for Skin Lesion Classification,M. Jindal; B. Singh,2024 3rd International Conference on Artificial Intelligence For Internet of Things (AIIoT),02-Jul-24,2024,"Even with the increasing availability of high-quality public datasets, the shortage of training samples remains a primary hurdle in deep learning skin analysis. Generative Adversarial Networks (GANs) present a promising solution by generating synthetic skin lesion images that closely resemble real images. Numerous studies have investigated the potential of GANs in medical contexts, yet their applicability remains uncertain due to prevalent biases in biomedical datasets and associated risks. Initial experiments on skin lesion datasets have yielded unreliable outcomes, prompting the fundamental question: ""Is GAN truly beneficial for biomedical classification tasks?"" Additionally, concerns about the amplification of dataset biases by AI models warrant further investigation into the inherent biases inherited by GANs. Considering these gaps, this study conducts experiments on skin lesion classification using four GAN architectures to assess their effectiveness in data generation, both conditional and unconditional. Among these models, StyleGAN2, when unconditionally applied, produced samples that contributed to classification improvement. Moreover, the visual analysis of generated samples revealed that GANs tend to amplify the existing biases with high distribution while suppressing those with low distribution. These findings highlight the limited efficacy of GAN-based augmentation for skin lesion classification in specific scenarios. Thus, caution is advised against the widespread adoption of GANs in medical applications due to computational costs and associated risks.",Training;Visualization;Medical services;Learning (artificial intelligence);Generative adversarial networks;Skin;Lesions,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10574714,IEEE Conferences,,,,,,
An Explainable Ensemble Classifier for Infrared Breast Cancer Detection,K. Raghavan; B. Sivaselvan,2024 3rd International Conference on Artificial Intelligence For Internet of Things (AIIoT),02-Jul-24,2024,"This study introduces an ensemble classifier that combines the benefits of three pre-trained neural networks: Xception, InceptionV3, and ResNet101. A squeeze-and-excite attention mechanism and Grad-CAM improve the classifier, enabling explainable AI. Using infrared images to detect breast cancer is complicated. Our approach addresses two key medical imaging issues: precise diagnosis and transparency in artificial intelligence decision-making. Using complementary network features and attention-integrated Grad-CAM to improve interpretability, our solution is comprehensive and practical. The ensemble classifier had 95.4% accuracy, demonstrating its ability to improve breast cancer detection. Explainable artificial intelligence (AI) techniques also give clinicians valuable insights into the modelâ€™s predictions, boosting trust and making AI tools more accessible to use in clinical settings. We used the Database For Mastology Research (DMR-IR) dataset to validate and implement our model in practice. This research signifies a notable advancement in the utilisation of AI in healthcare, providing a route towards diagnostic tools that are more precise, transparent, and user-friendly.",Visualization;Accuracy;Explainable AI;Decision making;Learning (artificial intelligence);Predictive models;Breast cancer,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10574722,IEEE Conferences,,,,,,
Customized Deep Learning Framework with Advanced Sampling Techniques for Lung Cancer Detection using CT Scans,T. Mahmmod; N. Ayesha; M. Mujahid; A. Rehman,2024 Seventh International Women in Data Science Conference at Prince Sultan University (WiDS PSU),02-Jul-24,2024,"Lung cancer is a devastating disease that kills around five million people annually, making it a major global threat. Timely recognition is critical to improving patient survival. With a focus on pulmonary nodules in medical imaging, CT scans are essential for the screening and identification of lung cancer. This paper introduces a customized deep-learning framework for lung cancer detection using CT Scans. To achieve an accurate and efficient early-stage lung cancer diagnosis, the model makes use of a large dataset of chest CT images for training and validation. The experimental results show that the model outperforms state-of-the-art methods for lung cancer categorization. The model provides a trustworthy and efficient means of early detection of lung cancer, which has the potential to revolutionize the field of lung cancer diagnostics. The deep framework outperforms existing approaches and highlights the need to apply transfer learning to medical image analysis. Because of the techniqueâ€™s extraordinary effectiveness, lung cancer research may be significantly impacted, and improvements in early diagnosis and therapy may result.",Training;Deep learning;Accuracy;Computed tomography;Transfer learning;Lung cancer;Medical treatment,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10571877,IEEE Conferences,,,,,,
Advancing Brain Tumor Detection in MRI: Leveraging NAFNET Denoising for Enhanced CNN Performance,S. Ramu; V. Sanjay Kumaran; M. Vijay; A. Balamurugan,2024 3rd International Conference on Applied Artificial Intelligence and Computing (ICAAIC),02-Jul-24,2024,"Image denoising is a vital process in the realm of medical imaging and the open-source image denoising algorithms such as NAFNET (Non-Linear Activation Free Network) can be used in improving the quality of brain MRI scans. The objective is to reduce noise in MRI images using NAFNET, thus improving the ability of subsequent CNN models to detect brain tumors. A comparative analysis was conducted between NAFNET and various traditional denoising algorithms. Different evaluation metrics were employed to demonstrate NAFNETâ€™s effectiveness in reducing image noise while preserving important details. Additionally, the impact of NAFNET-enhanced denoising on CNN-based brain tumor detection models was evaluated using various assessment metrics. The results highlight the potential of leveraging existing open source denoising algorithms like NAFNET to improve the detailing, accuracy in scan images and enhance the overall quality of CNN models, particularly in detecting brain tumors from MRI scans.",Measurement;Image quality;Accuracy;Magnetic resonance imaging;Noise reduction;Noise;Brain modeling,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10575654,IEEE Conferences,,,,,,
A CNN Approach for Brain Tumor Detection Using Diverse Optimizers,A. Revathi; R. N. Venkataraman; M. Moola,2024 3rd International Conference on Applied Artificial Intelligence and Computing (ICAAIC),02-Jul-24,2024,"The ability to recognize brain tumors via medical imaging is crucial for brain tumor treatment. This proposed work focused on a technique for detecting brain tumors by employing Convolutional Neural Networks (CNNs) to achieve precise and prompt diagnosis of brain tumors. This frame utilizes a variety of optimizers such as Stochastic Gradient Descent, RMSprop, Adam (Adaptive Moment Estimation), Adadelta, Adagrad, Adamax, and Nadam. The modelâ€™s performance is evaluated using accuracy, sensitivity, specificity, precision, and recall as the primary metrics. Leveraging a dataset of 6951 MRI images, results reveal varying performance across optimizers, with a peak accuracy of 98.8% emphasizing the need for careful selection based on specific requirements and dataset characteristics. Advancing brain tumor identification, aiming to enhance early intervention and patient outcomes through the integration of cutting-edge technology, particularly Convolutional Neural Networks (CNNs), which offer high precision in analyzing intricate patterns within medical imaging data.",Accuracy;Magnetic resonance imaging;Transfer learning;Stochastic processes;Computer architecture;Brain modeling;Convolutional neural networks,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10575750,IEEE Conferences,,,,,,
Knee Osteoarthritis Detection Using X-Rays and DNN,V. Sinha; E. Veemaraj,2024 3rd International Conference on Applied Artificial Intelligence and Computing (ICAAIC),02-Jul-24,2024,"Knee osteoarthritis (OA) is a prevalent degenerative joint disease that affects millions worldwide, leading to pain, disability, and reduced quality of life. Early detection and intervention are crucial for effective management and prevention of disease progression. In this paper, we propose a novel approach for knee OA detection using X-ray images and deep neural networks (DNNs). Specifically, we investigate the performance of two popular DNN architectures: EfficientNet-B5 and DenseNet121. We begin by pre-processing a dataset of knee X-ray images to extract relevant features and mitigate noise. Subsequently, we fine-tune the pre-trained EfficientNet-B5 and DenseNet121 models using transfer learning techniques to adapt them to the task of knee OA detection. We then evaluate and compare the performance of these models in terms of accuracy, sensitivity, specificity, and area under the receiver operating characteristic curve (AUC-ROC). Our experimental results demonstrate the efficacy of both EfficientNet-B5 and DenseNet121 architectures in knee OA detection, outperforming traditional machine learning approaches. However, we observe variations in their performance metrics, indicating nuanced differences in their ability to capture and discriminate pathological features in knee X-ray images. Furthermore, we conduct an in-depth analysis to understand the factors contributing to the performance disparities between the two models. Overall, our study contributes to the growing body of research aimed at leveraging DNNs for medical image analysis tasks, particularly in the domain of musculoskeletal disorders. The insights gained from this research can potentially aid clinicians in early diagnosis and personalized treatment planning for knee OA patients, ultimately improving patient outcomes and healthcare efficiency.",Adaptation models;Image analysis;Sensitivity;Transfer learning;Artificial neural networks;Feature extraction;Task analysis,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10575881,IEEE Conferences,,,,,,
Exploring CNN Architectures for Seizure Detection from MRI during Pregnancy,G. Nayak; N. M. Padhy; T. K. Mishra,2024 3rd International Conference on Applied Artificial Intelligence and Computing (ICAAIC),02-Jul-24,2024,"Deep Learning (DL) represents a subset that has revolutionized traditional machine learning. Unlike earlier methods relying on handcrafted feature extraction, DL automates both feature extraction and classification. This innovation has significantly advanced applications in various medical domains, including the diagnosis of epileptic seizures. This research provides a comparative overview of studies concentrating on automated epileptic seizure detection using leading convolutional neural networks (CNN) architectures. It explores diverse architectures proposed for the automatic diagnosis of epileptic seizures through MRI, encompassing an analysis of rehabilitation systems utilizing DL. The proposed work investigates the application of four primitive CNN architectures on the identification of onset of seizure. The proposed architectures are validated through benchmark MRI samples. Experimental evaluation is made on samples of pregnant females. Overall rate of accuracy stands at 85%, 80%, 90%, and 95% respectively.",Pregnancy;Deep learning;Neurological diseases;Technological innovation;Accuracy;Magnetic resonance imaging;Computer architecture,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10575568,IEEE Conferences,,,,,,
